2013-09-15 08:44:29,105 [Start Help Server] INFO  org.mortbay.log - Logging to Logger[org.mortbay.log] via org.mortbay.log.Slf4jLog
2014-03-29 07:27:36,620 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:36,621 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\BucketSort\src\test\resources
2014-03-29 07:27:36,655 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CocktailSort:CocktailSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CocktailSort\pom.xml.
2014-03-29 07:27:36,909 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:36,909 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\CocktailSort\src\main\resources
2014-03-29 07:27:36,910 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:36,911 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\CocktailSort\src\test\resources
2014-03-29 07:27:36,950 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CombSort:CombSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CombSort\pom.xml.
2014-03-29 07:27:37,484 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:37,484 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\CombSort\src\main\resources
2014-03-29 07:27:37,485 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:37,486 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\CombSort\src\test\resources
2014-03-29 07:27:37,519 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CountingSort:CountingSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CountingSort\pom.xml.
2014-03-29 07:27:37,971 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:37,971 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\CountingSort\src\main\resources
2014-03-29 07:27:37,973 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:37,973 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\CountingSort\src\test\resources
2014-03-29 07:27:38,006 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FlagSort:FlagSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\FlagSort\pom.xml.
2014-03-29 07:27:38,379 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:38,379 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\FlagSort\src\main\resources
2014-03-29 07:27:38,380 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:38,381 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\FlagSort\src\test\resources
2014-03-29 07:27:38,498 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Graph:Graph:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\Graph\pom.xml.
2014-03-29 07:27:38,758 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:38,759 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\Graph\src\main\resources
2014-03-29 07:27:38,761 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:38,762 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\Graph\src\test\resources
2014-03-29 07:27:38,810 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:kata-sort-guice:1.0 @ C:\Users\Admin\Documents\GitHub\kata\Guice\pom.xml.
2014-03-29 07:27:38,833 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:BubbleSort:1.0 @ C:\Users\Admin\Documents\GitHub\kata\BubbleSort\pom.xml.
2014-03-29 07:27:38,851 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BucketSort:BucketSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\BucketSort\pom.xml.
2014-03-29 07:27:38,866 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CocktailSort:CocktailSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CocktailSort\pom.xml.
2014-03-29 07:27:38,883 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CombSort:CombSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CombSort\pom.xml.
2014-03-29 07:27:38,898 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CountingSort:CountingSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CountingSort\pom.xml.
2014-03-29 07:27:38,913 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FlagSort:FlagSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\FlagSort\pom.xml.
2014-03-29 07:27:38,930 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Graph:Graph:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\Graph\pom.xml.
2014-03-29 07:27:39,202 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:39,203 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\Guice\src\main\resources
2014-03-29 07:27:39,204 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:39,204 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\Guice\src\test\resources
2014-03-29 07:27:39,236 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HeapSort:HeapSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\HeapSort\pom.xml.
2014-03-29 07:27:39,649 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:39,650 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\HeapSort\src\main\resources
2014-03-29 07:27:39,651 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:39,651 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\HeapSort\src\test\resources
2014-03-29 07:27:39,682 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: InsertionSort:InsertionSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\InsertionSort\pom.xml.
2014-03-29 07:27:39,955 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:39,955 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\InsertionSort\src\main\resources
2014-03-29 07:27:39,956 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:39,956 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\InsertionSort\src\test\resources
2014-03-29 07:27:39,986 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MergeSort:MergeSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\MergeSort\pom.xml.
2014-03-29 07:27:40,251 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:40,252 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\MergeSort\src\main\resources
2014-03-29 07:27:40,253 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:40,253 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\MergeSort\src\test\resources
2014-03-29 07:27:40,284 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: QuickSort:QuickSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\QuickSort\pom.xml.
2014-03-29 07:27:40,715 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:40,715 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\QuickSort\src\main\resources
2014-03-29 07:27:40,716 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:40,716 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\QuickSort\src\test\resources
2014-03-29 07:27:40,747 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RadixSort:RadixSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\RadixSort\pom.xml.
2014-03-29 07:27:41,183 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:41,183 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\RadixSort\src\main\resources
2014-03-29 07:27:41,184 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:41,185 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\RadixSort\src\test\resources
2014-03-29 07:27:41,215 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:kata-sets-random:1.0 @ C:\Users\Admin\Documents\GitHub\kata\RandomTestSets\pom.xml.
2014-03-29 07:27:41,232 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:kata-sort-guice:1.0 @ C:\Users\Admin\Documents\GitHub\kata\Guice\pom.xml.
2014-03-29 07:27:41,254 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:BubbleSort:1.0 @ C:\Users\Admin\Documents\GitHub\kata\BubbleSort\pom.xml.
2014-03-29 07:27:41,271 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BucketSort:BucketSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\BucketSort\pom.xml.
2014-03-29 07:27:41,287 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CocktailSort:CocktailSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CocktailSort\pom.xml.
2014-03-29 07:27:41,302 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CombSort:CombSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CombSort\pom.xml.
2014-03-29 07:27:41,316 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CountingSort:CountingSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CountingSort\pom.xml.
2014-03-29 07:27:41,331 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FlagSort:FlagSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\FlagSort\pom.xml.
2014-03-29 07:27:41,346 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Graph:Graph:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\Graph\pom.xml.
2014-03-29 07:27:41,361 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HeapSort:HeapSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\HeapSort\pom.xml.
2014-03-29 07:27:41,377 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: InsertionSort:InsertionSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\InsertionSort\pom.xml.
2014-03-29 07:27:41,391 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MergeSort:MergeSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\MergeSort\pom.xml.
2014-03-29 07:27:41,406 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: QuickSort:QuickSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\QuickSort\pom.xml.
2014-03-29 07:27:41,422 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RadixSort:RadixSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\RadixSort\pom.xml.
2014-03-29 07:27:41,937 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:41,937 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\RandomTestSets\src\main\resources
2014-03-29 07:27:41,938 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:41,939 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\RandomTestSets\src\test\resources
2014-03-29 07:27:42,006 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:kata-roman-numerals:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\RomanNumerals\pom.xml.
2014-03-29 07:27:42,176 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:42,176 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\RomanNumerals\src\main\resources
2014-03-29 07:27:42,178 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:42,179 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\RomanNumerals\src\test\resources
2014-03-29 07:27:42,209 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SelectionSort:SelectionSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\SelectionSort\pom.xml.
2014-03-29 07:27:42,678 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:42,679 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\SelectionSort\src\main\resources
2014-03-29 07:27:42,680 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:42,680 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\SelectionSort\src\test\resources
2014-03-29 07:27:42,709 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ShellSort:ShellSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\ShellSort\pom.xml.
2014-03-29 07:27:42,982 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:42,982 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\ShellSort\src\main\resources
2014-03-29 07:27:42,983 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:42,984 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\ShellSort\src\test\resources
2014-03-29 07:27:43,017 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:kata-sort-sets:1.0 @ C:\Users\Admin\Documents\GitHub\kata\SortTestSets\pom.xml.
2014-03-29 07:27:43,030 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:kata-sets-random:1.0 @ C:\Users\Admin\Documents\GitHub\kata\RandomTestSets\pom.xml.
2014-03-29 07:27:43,046 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:kata-sort-guice:1.0 @ C:\Users\Admin\Documents\GitHub\kata\Guice\pom.xml.
2014-03-29 07:27:43,066 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:BubbleSort:1.0 @ C:\Users\Admin\Documents\GitHub\kata\BubbleSort\pom.xml.
2014-03-29 07:27:43,080 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BucketSort:BucketSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\BucketSort\pom.xml.
2014-03-29 07:27:43,095 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CocktailSort:CocktailSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CocktailSort\pom.xml.
2014-03-29 07:27:43,108 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CombSort:CombSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CombSort\pom.xml.
2014-03-29 07:27:43,122 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CountingSort:CountingSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\CountingSort\pom.xml.
